Area Name,Total,GEOID
Alamance,171415.00,37001
Alexander,36444.00,37003
Alleghany,10888.00,37005
Anson,22055.00,37007
Ashe,26577.00,37009
Avery,17806.00,37011
Beaufort,44652.00,37013
Bertie,17934.00,37015
Bladen,29606.00,37017
Brunswick,136693.00,37019
Buncombe,269452.00,37021
Burke,87570.00,37023
Cabarr,225804.00,37025
Caldwell,80652.00,37027
Camden,10355.00,37029
Carteret,67686.00,37031
Caswell,22736.00,37033
Catawba,160610.00,37035
Chatham,76285.00,37037
Cherokee,28774.00,37039
Chowan,13708.00,37041
Clay,11089.00,37043
Cleveland,99519.00,37045
Columb,50623.00,37047
Craven,100720.00,37049
Cumberland,334728.00,37051
Currituck,28100.00,37053
Dare,36915.00,37055
Davidson,168930.00,37057
Davie,42712.00,37059
Duplin,48715.00,37061
Durham,324833.00,37063
Edgecombe,48900.00,37065
Forsyth,382590.00,37067
Franklin,68573.00,37069
Gaston,227943.00,37071
Gates,10478.00,37073
Graham,8030.00,37075
Granville,60992.00,37077
Greene,20451.00,37079
Guilford,541299.00,37081
Halifax,48622.00,37083
Harnett,133568.00,37085
Haywood,62089.00,37087
Henderson,116281.00,37089
Hertford,21552.00,37091
Hoke,52082.00,37093
Hyde,4589.00,37095
Iredell,186693.00,37097
Jackson,43109.00,37099
Johnston,215999.00,37101
Jones,9172.00,37103
Lee,63285.00,37105
Lenoir,55122.00,37107
Lincoln,86810.00,37109
McDowell,44578.00,37111
Macon,37014.00,37113
Madison,21193.00,37115
Martin,22031.00,37117
Mecklenburg,1115482.00,37119
Mitchell,14903.00,37121
Montgomery,25751.00,37123
Moore,99727.00,37125
Nash,94970.00,37127
New Hanover,225702.00,37129
Northampton,17471.00,37131
Onslow,204576.00,37133
Orange,148696.00,37135
Pamlico,12276.00,37137
Pasquotank,40568.00,37139
Pender,60203.00,37141
Perquimans,13005.00,37143
Person,39097.00,37145
Pitt,170243.00,37147
Polk,19328.00,37149
Randolph,144171.00,37151
Richmond,42946.00,37153
Robeson,116530.00,37155
Rockingham,91096.00,37157
Rowan,146875.00,37159
Rutherford,64444.00,37161
Sampson,59036.00,37163
Scotland,34174.00,37165
Stanly,62504.00,37167
Stokes,44520.00,37169
Surry,71359.00,37171
Swain,14117.00,37173
Transylvania,32986.00,37175
Tyrrell,3245.00,37177
Union,238267.00,37179
Vance,42578.00,37181
Wake,1129410.00,37183
Warren,18642.00,37185
Washington,11003.00,37187
Watauga,54086.00,37189
Wayne,117333.00,37191
Wilkes,65969.00,37193
Wilson,78784.00,37195
Yadkin,37214.00,37197
Yancey,18470.00,37199
